"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGUALAÇÃO";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA0CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL0CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE NOTIF. CAPTAÇÃO E DISTR. ÓRGÃOS ESTADUA";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA 0 LACEN";"LABORATORIO DE SAUDE PUBLICA";"POLICLINICA";"OFICINA ORTOPEDICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE0HOSP0URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"POLO PREV.DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE";"Total"
"260100 Angelim";3;0;0;1;0;2;0;6;0;2;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;19
"260105 Araçoiaba";0;0;0;1;0;1;0;8;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;17
"260110 Araripina";0;1;0;1;0;1;0;20;0;18;4;0;0;0;2;0;0;0;1;0;2;0;0;0;1;0;0;10;0;0;0;0;0;0;61
"260120 Arcoverde";0;1;0;0;1;2;0;28;0;31;27;0;0;0;2;0;0;1;1;0;5;1;0;0;2;0;0;16;0;0;0;1;0;0;119
"260130 Barra de Guabiraba";1;0;0;1;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;13
"260140 Barreiros";0;0;0;1;0;1;0;12;1;5;0;0;0;1;2;0;0;0;2;0;0;0;0;0;1;0;0;5;0;0;1;0;0;0;32
"260150 Belém de Maria";0;0;0;1;0;0;0;5;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;1;1;0;0;13
"260160 Belém do São Francisco";1;0;0;1;0;0;0;8;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;1;0;0;16
"260170 Belo Jardim";2;0;0;1;0;1;0;16;0;12;14;0;1;0;2;0;0;1;2;0;7;1;0;0;1;0;0;4;0;0;1;0;0;0;66
"260180 Betânia";1;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;16
"260190 Bezerros";1;0;0;2;0;1;0;19;0;9;16;0;2;0;2;0;0;0;1;0;3;0;0;0;1;0;0;9;0;0;2;0;0;0;68
"260200 Bodocó";0;0;0;0;0;1;0;11;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;6;0;0;0;0;0;0;22
"260210 Bom Conselho";4;0;0;2;0;1;0;15;0;3;16;0;0;0;1;0;0;0;0;0;3;0;0;0;1;0;0;5;0;0;1;0;0;0;52
"260220 Bom Jardim";2;0;0;2;0;0;0;13;0;1;0;0;2;0;1;0;0;0;0;0;7;0;0;0;1;0;0;0;0;0;1;0;0;0;30
"260230 Bonito";1;0;0;1;0;0;0;12;0;1;1;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;2;0;0;1;0;0;0;23
"260240 Brejão";1;0;0;0;0;0;0;6;0;0;0;0;1;0;1;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;1;1;0;0;15
"260250 Brejinho";1;0;0;1;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;9
"260260 Brejo da Madre de Deus";2;1;0;1;0;0;0;13;0;5;0;0;1;0;0;0;0;0;2;0;0;1;0;0;1;0;0;1;0;1;2;0;0;1;32
"260270 Buenos Aires";1;0;0;1;0;0;0;6;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;13
"260280 Buíque";0;0;0;0;0;1;0;12;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;3;3;0;0;0;1;0;0;26
"260290 Cabo de Santo Agostinho";3;1;0;0;0;3;0;45;0;53;43;0;0;2;6;0;0;0;3;0;2;3;0;0;1;0;0;13;1;0;5;0;0;0;184
"260300 Cabrobó";3;0;0;2;0;1;0;10;0;2;5;0;0;0;1;0;0;0;1;0;1;1;0;0;1;0;8;1;0;0;0;0;0;0;37
"260310 Cachoeirinha";1;0;0;1;0;0;0;0;0;4;2;0;0;0;0;0;0;0;1;0;7;0;0;0;1;0;0;0;0;1;0;0;0;0;18
"260320 Caetés";1;0;0;1;0;1;0;11;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;20
"260330 Calçado";1;0;0;1;0;1;0;5;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;13
"260340 Calumbi";1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;8
"260345 Camaragibe";1;0;0;0;0;3;0;46;0;24;13;0;1;3;0;0;0;0;1;0;0;0;0;0;1;0;1;4;1;0;2;2;0;0;103
"260350 Camocim de São Félix";2;0;0;1;0;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;6;0;0;0;1;0;0;1;1;1;1;0;0;0;18
"260360 Camutanga";1;1;0;2;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;12
"260370 Canhotinho";1;0;0;1;0;1;0;11;0;3;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;23
"260380 Capoeiras";0;1;0;1;0;1;0;10;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;18
"260390 Carnaíba";3;1;0;1;0;1;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;20
"260392 Carnaubeira da Penha";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;6;0;0;1;0;1;0;0;12
"260400 Carpina";1;1;0;3;0;1;0;20;0;27;25;0;1;0;1;0;0;0;1;0;1;0;0;0;1;0;0;12;0;1;2;0;0;0;98
"260410 Caruaru";3;1;1;0;1;2;0;66;1;149;243;4;3;4;10;2;0;1;1;0;1;5;1;0;2;3;0;40;2;0;7;2;0;0;555
"260415 Casinhas";1;0;0;1;0;0;0;6;0;1;0;0;1;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;1;1;0;0;0;16
"260420 Catende";0;0;0;1;0;1;0;11;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;17
"260430 Cedro";1;0;0;1;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;10
"260440 Chã de Alegria";0;0;0;1;0;0;0;6;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;12
"260450 Chã Grande";2;0;0;1;0;1;0;8;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;17
"260460 Condado";0;0;0;1;0;0;0;8;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;2;0;0;1;0;0;0;15
"260470 Correntes";1;0;0;1;0;1;0;7;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;15
"260480 Cortês";1;0;0;1;0;0;0;7;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;13
"260490 Cumaru";1;0;0;1;0;0;0;7;0;0;1;0;0;0;0;0;0;0;0;0;9;0;0;0;1;0;0;1;0;1;1;0;0;0;23
"260500 Cupira";1;0;0;1;0;1;0;10;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;2;2;0;1;0;0;0;21
"260510 Custódia";1;0;0;1;0;1;0;14;0;4;3;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;5;0;1;0;0;0;0;33
"260515 Dormentes";2;0;0;0;0;1;0;7;0;5;3;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;22
"260520 Escada";0;0;0;2;0;1;0;6;0;2;0;0;0;0;2;0;0;0;0;0;17;0;0;0;1;0;0;3;0;0;1;0;0;0;35
"260530 Exu";2;0;0;1;0;1;0;13;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;3;0;0;0;0;0;0;25
"260540 Feira Nova";1;1;0;1;0;1;0;8;0;3;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;19
"260545 Fernando de Noronha";0;0;0;0;0;0;0;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;7
"260550 Ferreiros";0;0;0;1;0;0;0;6;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;12
"260560 Flores";1;0;0;1;0;0;0;10;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;15
"260570 Floresta";1;0;0;0;0;1;0;7;0;1;4;0;0;0;2;0;0;0;0;0;2;0;0;0;1;0;4;0;0;0;0;0;0;0;23
"260580 Frei Miguelinho";0;0;0;1;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;12
"260590 Gameleira";0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;8;0;0;0;1;0;0;0;0;1;1;0;0;0;15
"260600 Garanhuns";2;2;0;2;1;5;0;44;1;32;209;6;1;1;4;1;0;1;0;0;0;0;0;0;2;1;0;28;1;0;2;0;0;2;348
"260610 Glória do Goitá";1;0;0;1;0;1;0;9;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;18
"260620 Goiana";12;1;0;4;0;1;0;26;0;17;13;0;1;0;3;0;0;0;3;0;3;0;0;0;4;0;0;9;0;2;5;0;0;0;104
"260630 Granito";2;0;0;1;0;0;0;3;0;2;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;12
"260640 Gravatá";0;1;0;0;0;2;0;20;0;12;28;0;2;0;1;0;0;0;2;0;0;0;0;0;2;0;0;8;0;0;4;0;0;0;82
"260650 Iati";0;0;0;0;0;0;0;8;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;12
"260660 Ibimirim";2;0;0;1;0;1;0;13;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;2;1;0;0;0;0;0;0;25
"260670 Ibirajuba";2;0;0;1;0;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;12
"260680 Igarassu";0;1;0;2;0;1;0;1;0;14;5;0;0;2;1;0;0;0;4;0;35;1;0;0;1;0;0;7;0;0;4;0;1;0;80
"260690 Iguaracy";1;0;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;8
"260760 Ilha de Itamaracá";0;0;0;1;0;1;0;12;0;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;0;0;0;23
"260700 Inajá";1;0;0;1;0;1;0;6;0;0;0;0;0;0;1;0;0;0;0;0;4;0;0;0;1;0;3;0;0;0;0;0;0;0;18
"260710 Ingazeira";2;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;7
"260720 Ipojuca";1;1;0;0;0;2;0;22;0;10;30;0;1;0;0;0;0;0;4;0;1;7;0;0;1;0;0;8;5;1;4;2;0;0;100
"260730 Ipubi";1;0;0;2;0;1;0;11;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;2;0;0;0;0;22
"260740 Itacuruba";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;4
"260750 Itaíba";1;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;15
"260765 Itambé";1;1;0;2;0;1;0;14;0;3;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;27
"260770 Itapetim";3;0;0;1;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;0;0;0;0;16
"260775 Itapissuma";2;0;0;1;0;1;0;10;0;4;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1;0;0;1;0;0;2;0;0;0;25
"260780 Itaquitinga";1;0;0;1;0;1;0;8;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;14
"260790 Jaboatão dos Guararapes";3;1;0;0;0;3;0;118;0;59;176;0;4;0;8;0;0;1;13;0;0;5;0;0;8;2;0;27;0;0;11;3;1;0;443
"260795 Jaqueira";1;0;0;1;0;0;0;5;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;11
"260800 Jataúba";0;0;0;1;0;1;0;6;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;1;1;0;0;0;13
"260805 Jatobá";1;0;0;0;0;0;0;5;0;2;2;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;2;0;0;0;0;0;0;0;15
"260810 João Alfredo";1;0;0;2;0;1;0;11;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;1;0;0;1;1;0;1;0;0;0;24
"260820 Joaquim Nabuco";0;0;0;1;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;1;0;0;0;0;12
"260825 Jucati";1;0;0;1;0;1;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;11
"260830 Jupi";1;0;0;0;0;0;0;8;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;1;0;0;0;16
"260840 Jurema";0;0;0;1;0;0;0;7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;12
"260850 Lagoa de Itaenga";0;0;0;1;0;1;0;9;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;18
"260845 Lagoa do Carro";1;0;0;1;0;1;0;7;0;0;0;0;1;0;0;0;0;0;1;0;4;0;0;0;1;0;0;2;1;1;1;0;0;0;22
"260860 Lagoa do Ouro";1;1;0;1;0;1;0;7;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;17
"260870 Lagoa dos Gatos";0;0;0;1;0;0;0;5;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;12
"260875 Lagoa Grande";1;1;0;0;0;1;0;10;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;1;0;0;19
"260880 Lajedo";1;1;0;1;0;1;0;10;0;2;10;0;1;0;1;0;0;0;0;0;2;0;0;0;1;0;0;2;0;0;1;0;0;0;34
"260890 Limoeiro";3;1;0;2;1;1;0;20;0;20;26;0;0;0;2;0;0;2;2;0;5;0;0;0;2;0;0;13;0;0;2;0;0;0;102
"260900 Macaparana";0;0;0;1;0;0;0;11;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;18
"260910 Machados";0;0;0;1;0;0;0;5;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;10
"260915 Manari";1;0;0;0;0;1;0;7;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;13
"260920 Maraial";0;0;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;8
"260930 Mirandiba";0;0;0;1;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;9
"261430 Moreilândia";0;0;0;0;0;0;0;6;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;9
"260940 Moreno";0;1;0;1;0;1;0;14;0;8;1;0;2;0;1;0;0;0;0;0;2;1;0;0;1;0;0;4;0;0;1;0;0;0;38
"260950 Nazaré da Mata";1;0;0;2;0;1;0;14;0;0;1;0;1;0;1;0;0;0;1;0;2;0;0;0;1;0;0;3;0;0;1;0;0;0;29
"260960 Olinda";3;1;0;0;0;3;0;40;0;52;75;0;0;2;3;2;0;0;9;0;0;1;0;2;1;0;0;20;2;0;6;2;1;0;225
"260970 Orobó";4;1;0;2;0;0;0;10;0;1;0;0;1;0;1;0;0;0;0;0;3;0;0;0;1;0;0;1;0;0;1;0;0;0;26
"260980 Orocó";1;0;0;1;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;1;0;0;1;0;0;0;0;13
"260990 Ouricuri";2;1;0;0;1;2;0;25;0;8;5;0;0;1;1;0;0;1;2;0;1;0;0;0;2;0;0;10;1;0;0;1;0;0;64
"261000 Palmares";1;0;0;2;1;1;0;19;0;17;8;0;1;0;2;0;0;0;1;0;0;0;0;0;2;0;0;14;0;0;2;3;0;0;74
"261010 Palmeirina";0;0;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;8
"261020 Panelas";3;0;0;1;0;1;0;2;0;2;0;0;0;0;0;0;0;1;0;0;7;0;0;0;1;0;0;1;0;1;1;1;0;0;22
"261030 Paranatama";0;0;0;1;0;1;0;6;0;2;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;1;1;0;0;0;16
"261040 Parnamirim";1;0;0;0;0;0;0;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;0;0;0;0;14
"261050 Passira";2;1;0;2;0;0;0;16;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;4;2;1;1;0;0;0;33
"261060 Paudalho";2;1;0;3;0;1;1;21;0;4;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;40
"261070 Paulista";3;0;0;3;0;2;0;59;0;43;25;0;0;0;8;0;0;0;5;0;0;1;0;0;1;0;0;20;1;0;5;1;0;0;177
"261080 Pedra";2;0;0;1;0;1;0;10;0;1;0;0;0;0;1;0;0;0;0;0;4;0;0;0;1;0;0;1;0;0;0;0;0;0;22
"261090 Pesqueira";6;0;0;2;0;1;0;17;0;12;5;0;0;0;2;0;0;1;3;0;5;0;0;0;1;0;5;1;0;0;1;0;0;0;62
"261100 Petrolândia";1;0;0;0;0;1;0;10;0;4;6;0;0;0;2;0;0;0;1;0;1;0;0;0;1;0;2;3;0;0;0;0;0;0;32
"261110 Petrolina";4;3;1;9;1;3;0;53;1;168;125;3;0;1;8;2;0;1;14;0;0;0;0;0;2;1;0;36;2;0;7;4;0;0;449
"261120 Poção";1;0;0;1;0;1;0;6;0;0;0;0;1;0;0;0;0;0;0;0;5;0;0;0;1;0;0;0;0;1;1;0;0;0;18
"261130 Pombos";1;0;0;1;0;1;0;10;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;1;0;0;0;20
"261140 Primavera";0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;9
"261150 Quipapá";1;0;0;1;0;1;0;9;0;1;0;0;0;0;1;0;0;0;1;0;2;0;0;0;1;0;0;1;0;0;1;0;0;0;20
"261153 Quixaba";2;0;0;1;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;9
"261160 Recife";40;2;1;0;0;17;0;158;4;952;993;19;1;27;40;0;0;3;27;0;0;5;5;1;11;8;1;193;1;0;33;4;4;0;2550
"261170 Riacho das Almas";2;0;0;1;0;0;0;7;0;2;3;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;1;0;1;1;1;0;0;24
"261180 Ribeirão";1;0;0;1;0;1;0;11;0;4;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;2;0;0;1;0;0;0;24
"261190 Rio Formoso";0;0;0;0;0;1;0;9;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;15
"261200 Sairé";0;0;0;1;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;12
"261210 Salgadinho";1;0;0;1;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;10
"261220 Salgueiro";2;1;0;1;1;1;0;19;0;21;17;0;0;0;2;0;0;1;2;1;0;0;0;0;2;0;1;7;0;0;0;0;1;0;80
"261230 Saloá";1;0;0;1;0;1;0;8;0;2;0;0;1;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;19
"261240 Sanharó";1;1;0;1;0;0;0;7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;14
"261245 Santa Cruz";2;0;0;1;0;0;0;6;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;14
"261247 Santa Cruz da Baixa Verde";1;0;0;1;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;10
"261250 Santa Cruz do Capibaribe";2;1;0;2;0;1;0;19;0;8;24;0;0;0;1;0;0;0;3;0;3;1;0;1;1;0;0;7;0;0;3;1;0;0;78
"261255 Santa Filomena";1;0;0;0;0;0;0;6;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;9
"261260 Santa Maria da Boa Vista";1;0;0;1;0;1;0;13;0;0;6;0;0;0;1;0;0;0;0;0;4;0;0;0;1;0;0;1;1;0;0;1;0;0;31
"261270 Santa Maria do Cambucá";2;0;0;1;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;10
"261280 Santa Terezinha";4;0;0;1;0;0;0;6;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;15
"261290 São Benedito do Sul";0;0;0;1;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;8
"261300 São Bento do Una";1;1;0;1;0;0;0;10;0;1;3;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;3;0;0;1;1;0;0;26
"261310 São Caitano";1;1;0;1;0;0;0;12;0;1;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;21
"261320 São João";0;1;0;1;0;1;0;11;0;2;2;0;0;0;1;0;0;0;0;0;4;0;0;0;1;0;0;0;0;0;1;0;0;0;25
